Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"setEncryptedText(findTestObject(""Object Repository/Page_Pense Bet/input_Register_passwordConfirmation (1)""), ""P9ET2sDE0SE="")",Chrome 73.0.3683.103,,2019-05-02 17:11:18,2019-05-02 17:11:18,0.093s,PASSED
"click(findTestObject(""Object Repository/Page_Pense Bet/button_Register (1)""))",Chrome 73.0.3683.103,,2019-05-02 17:11:18,2019-05-02 17:11:18,0.241s,PASSED
"verifyElementPresent(findTestObject(""Page_Pense Bet/label_The password and its confirmation doesnt match retry""), 0)",Chrome 73.0.3683.103,,2019-05-02 17:11:18,2019-05-02 17:11:18,0.042s,PASSED
,,,,,,
Test Cases/UserCreationFailEmail,Chrome 73.0.3683.103,,2019-05-02 17:11:18,2019-05-02 17:11:22,3.865s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-05-02 17:11:18,2019-05-02 17:11:21,2.735s,PASSED
"navigateToUrl(""http://localhost:8080/register"")",Chrome 73.0.3683.103,,2019-05-02 17:11:21,2019-05-02 17:11:21,0.356s,PASSED
"setText(findTestObject(""Object Repository/Page_Pense Bet/input_Register_email (2)""), ""katalon3"")",Chrome 73.0.3683.103,,2019-05-02 17:11:21,2019-05-02 17:11:21,0.151s,PASSED
"setText(findTestObject(""Object Repository/Page_Pense Bet/input_Register_nickname (2)""), ""katalon3"")",Chrome 73.0.3683.103,,2019-05-02 17:11:21,2019-05-02 17:11:21,0.104s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Pense Bet/input_Register_password (2)""), ""o+tS4OuGt32s9ezZj287yw=="")",Chrome 73.0.3683.103,,2019-05-02 17:11:21,2019-05-02 17:11:21,0.091s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Pense Bet/input_Register_passwordConfirmation (2)""), ""o+tS4OuGt32s9ezZj287yw=="")",Chrome 73.0.3683.103,,2019-05-02 17:11:21,2019-05-02 17:11:22,0.106s,PASSED
"click(findTestObject(""Object Repository/Page_Pense Bet/button_Register (2)""))",Chrome 73.0.3683.103,,2019-05-02 17:11:22,2019-05-02 17:11:22,0.154s,PASSED
"verifyElementPresent(findTestObject(""Page_Pense Bet/label_The email is not valid""), 0)",Chrome 73.0.3683.103,,2019-05-02 17:11:22,2019-05-02 17:11:22,0.030s,PASSED
,,,,,,
Test Cases/UserCanConnect,Chrome 73.0.3683.103,,2019-05-02 17:11:22,2019-05-02 17:11:26,3.827s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-05-02 17:11:22,2019-05-02 17:11:25,2.731s,PASSED
"navigateToUrl(""http://localhost:8080/login"")",Chrome 73.0.3683.103,,2019-05-02 17:11:25,2019-05-02 17:11:25,0.378s,PASSED
"setText(findTestObject(""Object Repository/Page_Pense Bet/input_Login_nickname""), ""katalon"")",Chrome 73.0.3683.103,,2019-05-02 17:11:25,2019-05-02 17:11:25,0.145s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Pense Bet/input_Login_password""), ""o+tS4OuGt32s9ezZj287yw=="")",Chrome 73.0.3683.103,,2019-05-02 17:11:25,2019-05-02 17:11:25,0.092s,PASSED
"click(findTestObject(""Object Repository/Page_Pense Bet/button_Login""))",Chrome 73.0.3683.103,,2019-05-02 17:11:25,2019-05-02 17:11:25,0.248s,PASSED
"verifyMatch(getUrl(), ""http://localhost:8080/"", false)",Chrome 73.0.3683.103,,2019-05-02 17:11:25,2019-05-02 17:11:26,0.087s,PASSED
,,,,,,
Test Cases/UserCannotConnect,Chrome 73.0.3683.103,,2019-05-02 17:11:26,2019-05-02 17:11:30,4.059s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-05-02 17:11:26,2019-05-02 17:11:28,2.701s,PASSED
"navigateToUrl(""http://localhost:8080/login"")",Chrome 73.0.3683.103,,2019-05-02 17:11:28,2019-05-02 17:11:29,0.728s,PASSED
"setText(findTestObject(""Object Repository/Page_Pense Bet/input_Login_nickname (1)""), ""katalon"")",Chrome 73.0.3683.103,,2019-05-02 17:11:29,2019-05-02 17:11:29,0.147s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Pense Bet/input_Login_password (1)""), ""P9ET2sDE0SE="")",Chrome 73.0.3683.103,,2019-05-02 17:11:29,2019-05-02 17:11:29,0.086s,PASSED
"click(findTestObject(""Object Repository/Page_Pense Bet/button_Login (1)""))",Chrome 73.0.3683.103,,2019-05-02 17:11:29,2019-05-02 17:11:30,0.245s,PASSED
"verifyElementPresent(findTestObject(""Page_Pense Bet/p_Name or Password invalid please verify""), 0)",Chrome 73.0.3683.103,,2019-05-02 17:11:30,2019-05-02 17:11:30,0.024s,PASSED
,,,,,,
Test Cases/UserCanCreateBet,Chrome 73.0.3683.103,,2019-05-02 17:11:30,2019-05-02 17:11:34,4.504s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-05-02 17:11:30,2019-05-02 17:11:33,2.741s,PASSED
"navigateToUrl(""http://localhost:8080/login"")",Chrome 73.0.3683.103,,2019-05-02 17:11:33,2019-05-02 17:11:33,0.370s,PASSED
"setText(findTestObject(""Object Repository/Page_Pense Bet/input_Login_nickname (2)""), ""katalon"")",Chrome 73.0.3683.103,,2019-05-02 17:11:33,2019-05-02 17:11:33,0.171s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Pense Bet/input_Login_password (2)""), ""o+tS4OuGt32s9ezZj287yw=="")",Chrome 73.0.3683.103,,2019-05-02 17:11:33,2019-05-02 17:11:33,0.128s,PASSED
"click(findTestObject(""Object Repository/Page_Pense Bet/button_Login (2)""))",Chrome 73.0.3683.103,,2019-05-02 17:11:33,2019-05-02 17:11:33,0.259s,PASSED
"click(findTestObject(""Object Repository/Page_Pense Bet/i_katalon_fas fa-user ml-1""))",Chrome 73.0.3683.103,,2019-05-02 17:11:33,2019-05-02 17:11:34,0.100s,PASSED
"click(findTestObject(""Object Repository/Page_Pense Bet/a_Create new bet""))",Chrome 73.0.3683.103,,2019-05-02 17:11:34,2019-05-02 17:11:34,0.175s,PASSED
"setText(findTestObject(""Object Repository/Page_Pense Bet/input_Bet subject_subject""), ""je paris qu'on aura 6 au projet de QDL"")",Chrome 73.0.3683.103,,2019-05-02 17:11:34,2019-05-02 17:11:34,0.166s,PASSED
"setText(findTestObject(""Object Repository/Page_Pense Bet/input_Amount_amount""), ""5"")",Chrome 73.0.3683.103,,2019-05-02 17:11:34,2019-05-02 17:11:34,0.075s,PASSED
"click(findTestObject(""Object Repository/Page_Pense Bet/div_Amount_input-group col-12""))",Chrome 73.0.3683.103,,2019-05-02 17:11:34,2019-05-02 17:11:34,0.056s,PASSED
"setText(findTestObject(""Object Repository/Page_Pense Bet/input_Amount_amount""), ""5"")",Chrome 73.0.3683.103,,2019-05-02 17:11:34,2019-05-02 17:11:34,0.057s,PASSED
"click(findTestObject(""Object Repository/Page_Pense Bet/button_Register Bet""))",Chrome 73.0.3683.103,,2019-05-02 17:11:34,2019-05-02 17:11:34,0.053s,PASSED
"verifyMatch(getUrl(), ""http://localhost:8080/bet/.*"", true)",Chrome 73.0.3683.103,,2019-05-02 17:11:34,2019-05-02 17:11:34,0.015s,PASSED
,,,,,,
Test Cases/UserCreateBetFailSubject,Chrome 73.0.3683.103,,2019-05-02 17:11:34,2019-05-02 17:11:39,4.584s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-05-02 17:11:34,2019-05-02 17:11:37,2.731s,PASSED
"navigateToUrl(""http://localhost:8080/login"")",Chrome 73.0.3683.103,,2019-05-02 17:11:37,2019-05-02 17:11:37,0.355s,PASSED
"setText(findTestObject(""Object Repository/Page_Pense Bet/input_Login_nickname (4)""), ""katalon"")",Chrome 73.0.3683.103,,2019-05-02 17:11:37,2019-05-02 17:11:38,0.136s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Pense Bet/input_Login_password (4)""), ""o+tS4OuGt32s9ezZj287yw=="")",Chrome 73.0.3683.103,,2019-05-02 17:11:38,2019-05-02 17:11:38,0.083s,PASSED
"click(findTestObject(""Object Repository/Page_Pense Bet/button_Login (4)""))",Chrome 73.0.3683.103,,2019-05-02 17:11:38,2019-05-02 17:11:38,0.271s,PASSED
"click(findTestObject(""Object Repository/Page_Pense Bet/a_Active""))",Chrome 73.0.3683.103,,2019-05-02 17:11:38,2019-05-02 17:11:38,0.177s,PASSED
"click(findTestObject(""Object Repository/Page_Pense Bet/a_Waiting""))",Chrome 73.0.3683.103,,2019-05-02 17:11:38,2019-05-02 17:11:38,0.156s,PASSED
"click(findTestObject(""Object Repository/Page_Pense Bet/a_katalon""))",Chrome 73.0.3683.103,,2019-05-02 17:11:38,2019-05-02 17:11:38,0.071s,PASSED
"click(findTestObject(""Object Repository/Page_Pense Bet/a_Create new bet (1)""))",Chrome 73.0.3683.103,,2019-05-02 17:11:38,2019-05-02 17:11:38,0.183s,PASSED
"click(findTestObject(""Object Repository/Page_Pense Bet/div_Create a new bet        Bet subject        Ending date        Amount    Register Bet""))",Chrome 73.0.3683.103,,2019-05-02 17:11:38,2019-05-02 17:11:39,0.062s,PASSED
"setText(findTestObject(""Object Repository/Page_Pense Bet/input_Amount_amount (1)""), ""10"")",Chrome 73.0.3683.103,,2019-05-02 17:11:39,2019-05-02 17:11:39,0.119s,PASSED
"click(findTestObject(""Object Repository/Page_Pense Bet/button_Register Bet (1)""))",Chrome 73.0.3683.103,,2019-05-02 17:11:39,2019-05-02 17:11:39,0.085s,PASSED
,,,,,,
Test Cases/UserCanIgnoreBet,Chrome 73.0.3683.103,,2019-05-02 17:11:39,2019-05-02 17:12:14,35.396s,FAILED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-05-02 17:11:39,2019-05-02 17:11:42,2.712s,PASSED
"navigateToUrl(""http://localhost:8080/login"")",Chrome 73.0.3683.103,,2019-05-02 17:11:42,2019-05-02 17:11:42,0.371s,PASSED
"setText(findTestObject(""Object Repository/Page_Pense Bet/input_Login_nickname (9)""), ""katalon"")",Chrome 73.0.3683.103,,2019-05-02 17:11:42,2019-05-02 17:11:42,0.133s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Pense Bet/input_Login_password (9)""), ""o+tS4OuGt32s9ezZj287yw=="")",Chrome 73.0.3683.103,,2019-05-02 17:11:42,2019-05-02 17:11:42,0.085s,PASSED
"click(findTestObject(""Object Repository/Page_Pense Bet/button_Login (9)""))",Chrome 73.0.3683.103,,2019-05-02 17:11:42,2019-05-02 17:11:43,0.225s,PASSED
"click(findTestObject(""Object Repository/Page_Pense Bet/a_Waiting (2)""))",Chrome 73.0.3683.103,,2019-05-02 17:11:43,2019-05-02 17:11:43,0.145s,PASSED
"click(findTestObject(""Object Repository/Page_Pense Bet/span_katalon""))",Chrome 73.0.3683.103,,2019-05-02 17:11:43,2019-05-02 17:11:43,0.072s,PASSED
"click(findTestObject(""Object Repository/Page_Pense Bet/a_Create new bet (3)""))",Chrome 73.0.3683.103,,2019-05-02 17:11:43,2019-05-02 17:11:43,0.145s,PASSED
"setText(findTestObject(""Object Repository/Page_Pense Bet/input_Bet subject_subject (3)""), ""sdfgdhgf"")",Chrome 73.0.3683.103,,2019-05-02 17:11:43,2019-05-02 17:11:43,0.107s,PASSED
"setText(findTestObject(""Object Repository/Page_Pense Bet/input_Amount_amount (3)""), ""5"")",Chrome 73.0.3683.103,,2019-05-02 17:11:43,2019-05-02 17:11:43,0.077s,PASSED
"click(findTestObject(""Object Repository/Page_Pense Bet/button_Register Bet (3)""))",Chrome 73.0.3683.103,,2019-05-02 17:11:43,2019-05-02 17:11:43,0.058s,PASSED
"click(findTestObject(""Object Repository/Page_Pense Bet/button_Ignore bet""))",Chrome 73.0.3683.103,,2019-05-02 17:11:43,2019-05-02 17:12:14,30.889s,FAILED
,,,,,,
Test Cases/UserCanParticipateBet,Chrome 73.0.3683.103,,2019-05-02 17:12:14,2019-05-02 17:12:49,35.078s,FAILED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-05-02 17:12:14,2019-05-02 17:12:17,2.755s,PASSED
"navigateToUrl(""http://localhost:8080/login"")",Chrome 73.0.3683.103,,2019-05-02 17:12:17,2019-05-02 17:12:17,0.356s,PASSED
"setText(findTestObject(""Object Repository/Page_Pense Bet/input_Login_nickname (5)""), ""katalon"")",Chrome 73.0.3683.103,,2019-05-02 17:12:17,2019-05-02 17:12:18,0.137s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Pense Bet/input_Login_password (5)""), ""o+tS4OuGt32s9ezZj287yw=="")",Chrome 73.0.3683.103,,2019-05-02 17:12:18,2019-05-02 17:12:18,0.087s,PASSED
"click(findTestObject(""Object Repository/Page_Pense Bet/button_Login (5)""))",Chrome 73.0.3683.103,,2019-05-02 17:12:18,2019-05-02 17:12:18,0.253s,PASSED
"click(findTestObject(""Object Repository/Page_Pense Bet/a_katalon (1)""))",Chrome 73.0.3683.103,,2019-05-02 17:12:18,2019-05-02 17:12:18,0.074s,PASSED
"click(findTestObject(""Object Repository/Page_Pense Bet/a_Create new bet (2)""))",Chrome 73.0.3683.103,,2019-05-02 17:12:18,2019-05-02 17:12:18,0.142s,PASSED
"setText(findTestObject(""Object Repository/Page_Pense Bet/input_Bet subject_subject (2)""), ""test1"")",Chrome 73.0.3683.103,,2019-05-02 17:12:18,2019-05-02 17:12:18,0.094s,PASSED
"click(findTestObject(""Object Repository/Page_Pense Bet/div_Amount_input-group col-12 (1)""))",Chrome 73.0.3683.103,,2019-05-02 17:12:18,2019-05-02 17:12:18,0.068s,PASSED
"setText(findTestObject(""Object Repository/Page_Pense Bet/input_Amount_amount (2)""), ""5"")",Chrome 73.0.3683.103,,2019-05-02 17:12:18,2019-05-02 17:12:18,0.095s,PASSED
"click(findTestObject(""Object Repository/Page_Pense Bet/button_Register Bet (2)""))",Chrome 73.0.3683.103,,2019-05-02 17:12:18,2019-05-02 17:12:18,0.060s,PASSED
"click(findTestObject(""Object Repository/Page_Pense Bet/button_Agree""))",Chrome 73.0.3683.103,,2019-05-02 17:12:18,2019-05-02 17:12:49,30.834s,FAILED
,,,,,,
Test Cases/UserCreateBetFailDate,Chrome 73.0.3683.103,,2019-05-02 17:12:49,2019-05-02 17:12:53,3.787s,ERROR
"openBrowser("""")",Chrome 73.0.3683.103,,2019-05-02 17:12:49,2019-05-02 17:12:52,2.677s,PASSED
"navigateToUrl(""http://localhost:8080/login"")",Chrome 73.0.3683.103,,2019-05-02 17:12:52,2019-05-02 17:12:53,0.724s,PASSED
"setText(findTestObject(""Page_Pense Bet/input_Login_nickname""), ""katalon"")",Chrome 73.0.3683.103,,2019-05-02 17:12:53,2019-05-02 17:12:53,0.138s,PASSED
"setEncryptedText(findTestObject(""Page_Pense Bet/input_Login_password""), ""o+tS4OuGt32s9ezZj287yw=="")",Chrome 73.0.3683.103,,2019-05-02 17:12:53,2019-05-02 17:12:53,0.093s,PASSED
"sendKeys(findTestObject(""Page_Pense Bet/input_Login_password""), Keys.chord(ENTER))",Chrome 73.0.3683.103,,2019-05-02 17:12:53,2019-05-02 17:12:53,0.006s,ERROR
,,,,,,
Test Cases/UserCreation,Chrome 73.0.3683.103,Création d'un utilisateur n'existant pas encore,2019-05-02 17:12:53,2019-05-02 17:12:57,4.453s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-05-02 17:12:53,2019-05-02 17:12:56,2.663s,PASSED
"navigateToUrl(""http://localhost:8080/register"")",Chrome 73.0.3683.103,,2019-05-02 17:12:56,2019-05-02 17:12:56,0.330s,PASSED
"setText(findTestObject(""Page_Pense Bet/input_Register_email""), ""katalon@test.ch"")",Chrome 73.0.3683.103,,2019-05-02 17:12:56,2019-05-02 17:12:56,0.182s,PASSED
"setText(findTestObject(""Page_Pense Bet/input_Register_nickname""), ""katalon"")",Chrome 73.0.3683.103,,2019-05-02 17:12:56,2019-05-02 17:12:56,0.114s,PASSED
"setEncryptedText(findTestObject(""Page_Pense Bet/input_Register_password""), ""o+tS4OuGt32s9ezZj287yw=="")",Chrome 73.0.3683.103,,2019-05-02 17:12:56,2019-05-02 17:12:56,0.094s,PASSED
"setEncryptedText(findTestObject(""Page_Pense Bet/input_Register_passwordConfirmation""), ""o+tS4OuGt32s9ezZj287yw=="")",Chrome 73.0.3683.103,,2019-05-02 17:12:56,2019-05-02 17:12:56,0.099s,PASSED
"click(findTestObject(""Page_Pense Bet/button_Register""))",Chrome 73.0.3683.103,,2019-05-02 17:12:56,2019-05-02 17:12:57,0.350s,PASSED
closeBrowser(),Chrome 73.0.3683.103,,2019-05-02 17:12:57,2019-05-02 17:12:57,0.616s,PASSED
